TEMPERATURE,WINDSPEED,ZENITH,DHI,DNI,POWER
9,3.3,167.96,0,0,0
8.8,3.4,170.19,0,0,0
8.6,3.6,168.34,0,0,0
8.5,3.7,163.75,0,0,0
8.5,3.7,158.09,0,0,0
8.4,3.8,152.01,0,0,0
8.8,3.8,145.75,0,0,0
9.2,3.9,139.42,0,0,0
9.5,4,133.07,0,0,0
9.9,4,126.72,0,0,0
10.4,4.1,120.41,0,0,0
10.8,4.2,114.16,0,0,0
11.1,4.1,107.99,0,0,0
11.4,4,101.91,0,0,0
11.6,4.1,95.97,0,0,0
11.9,4.1,89.73,0,0,0
12.6,4.2,84.46,27,0,10.8
13.3,4.3,79.17,28,0,12.3
14.9,4.3,74.14,110,181,29.3
16.5,4.4,69.46,114,467,47.9
18.6,5.1,65.23,58,888,60.1
20.7,5.9,61.54,65,954,63.3
21.7,6,58.49,68,985,55.1
22.8,6.2,56.19,70,999,57
23.2,5.9,54.75,71,1007,48.5
23.6,5.7,54.22,73,1020,48.2
23.7,5.3,54.63,72,1018,49.4
23.8,4.9,55.97,73,1006,50.7
23.6,4.4,58.16,71,993,53.3
23.4,3.9,61.12,68,972,55.3
22.5,2.8,64.74,64,942,56.4
21.5,1.7,68.91,59,899,54.3
19.7,1.3,73.53,52,833,48.8
17.8,0.8,78.52,43,735,39.7
17.8,0.8,83.79,30,558,19.5
15.7,0.6,89.11,0,0,0
14.7,0.7,95.24,0,0,0
13.7,0.9,101.17,0,0,0
12.9,1.1,107.22,0,0,0
12,1.3,113.39,0,0,0
11.3,1.5,119.63,0,0,0
10.7,1.8,125.93,0,0,0
9.9,2,132.27,0,0,0
9.1,2.3,138.62,0,0,0
8.4,2.3,144.96,0,0,0
7.7,2.4,151.22,0,0,0
7.3,2.5,157.32,0,0,0
6.8,2.6,163.04,0,0,0
6.4,2.7,167.79,0,0,0
6.1,2.7,170.05,0,0,0
5.7,2.8,168.27,0,0,0
5.3,2.8,163.73,0,0,0
4.9,2.8,158.1,0,0,0
4.4,2.9,152.03,0,0,0
4,2.9,145.78,0,0,0
3.6,3,139.45,0,0,0
3.4,3.2,133.1,0,0,0
3.2,3.5,126.75,0,0,0
3.1,3.8,120.44,0,0,0
3,4.2,114.18,0,0,0
2.9,4.4,108,0,0,0
2.7,4.6,101.93,0,0,0
3.1,4.9,95.97,0,0,0
3.4,5.3,89.71,0,0,0
4.7,5.6,84.44,30,473,18.1
6,5.9,79.14,57,399,43.8
7.4,6.2,74.1,54,793,49.8
8.7,6.4,69.42,60,860,51.8
9.9,6.4,65.17,65,908,57.9
11,6.4,61.46,68,944,53.2
11.8,6.4,58.4,71,967,57.2
12.5,6.5,56.08,72,985,56.4
12.8,6.7,54.62,73,986,54
13,6.9,54.07,74,988,52.1
13,7,54.48,74,985,53.8
12.9,7.1,55.8,74,975,58.5
12.6,7.3,57.99,72,969,57.8
12.3,7.5,60.95,67,953,59.8
11.6,7.7,64.57,64,922,61.3
10.9,8,68.74,59,889,59.7
9.6,8,73.36,52,824,52.4
8.3,8,78.36,43,724,40
8.3,8,83.62,30,552,19.2
5.9,6.4,88.95,11,222,0
5.1,5.4,95.08,0,0,0
4.3,4.4,101.01,0,0,0
3.7,3.9,107.07,0,0,0
3,3.4,113.24,0,0,0
2.5,3.1,119.48,0,0,0
1.9,2.8,125.79,0,0,0
1.4,2.6,132.13,0,0,0
0.8,2.3,138.48,0,0,0
0.3,2,144.81,0,0,0
-0.2,1.8,151.07,0,0,0
-0.6,1.7,157.16,0,0,0
-1,1.5,162.87,0,0,0
-1.3,1.5,167.62,0,0,0
-1.6,1.4,169.9,0,0,0
-1.9,1.4,168.2,0,0,0
-2.1,1.4,163.71,0,0,0
-2.3,1.5,158.1,0,0,0
-2.5,1.5,152.05,0,0,0
-2.7,1.5,145.8,0,0,0
-2.8,1.6,139.48,0,0,0
-3,1.6,133.12,0,0,0
-3.1,1.6,126.78,0,0,0
-3.2,1.7,120.46,0,0,0
-3.3,1.7,114.2,0,0,0
-3.3,1.7,108.02,0,0,0
-3.4,1.7,101.93,0,0,0
-2.3,1.9,95.98,0,0,0
-1.2,2.1,89.69,0,0,0
0.6,2.6,84.42,26,592,22.4
2.4,3,79.11,56,411,42
4.3,3,74.06,45,871,52.8
6.2,2.9,69.36,50,937,60.4
7.9,3.1,65.1,54,980,61.5
9.6,3.3,61.38,57,1010,60.6
10.7,3.4,58.3,59,1030,54.2
11.9,3.5,55.97,64,1040,52.6
12.7,3.7,54.49,65,1048,50.7
13.5,3.8,53.93,65,1051,48.1
14.1,4,54.32,65,1049,50.8
14.7,4.1,55.64,64,1042,54.4
15,4.1,57.82,62,1029,53.2
15.3,4.2,60.77,58,1013,56.9
15,3.8,64.39,55,985,58.2
14.7,3.4,68.56,52,943,55.8
12.3,2.6,73.19,47,883,50
9.8,1.9,78.19,40,785,41.8
9.8,1.9,83.46,29,623,20.2
6.5,2.3,88.81,12,284,0
6.1,2.5,94.92,0,0,0
5.7,2.8,100.85,0,0,0
5.2,2.9,106.92,0,0,0
4.7,3,113.09,0,0,0
4.1,3,119.33,0,0,0
3.6,3,125.64,0,0,0
2.9,2.9,131.98,0,0,0
2.3,2.8,138.33,0,0,0
1.8,2.7,144.66,0,0,0
1.3,2.6,150.92,0,0,0
0.9,2.6,157,0,0,0
0.5,2.5,162.7,0,0,0
0.2,2.4,167.44,0,0,0
-0.1,2.4,169.75,0,0,0
-0.3,2.3,168.11,0,0,0
-0.5,2.3,163.68,0,0,0
-0.6,2.3,158.1,0,0,0
-0.8,2.3,152.06,0,0,0
-0.8,2.4,145.82,0,0,0
-0.9,2.4,139.5,0,0,0
-1,2.4,133.15,0,0,0
-1,2.4,126.8,0,0,0
-1.1,2.3,120.48,0,0,0
-1.2,2.3,114.22,0,0,0
-1.2,2.3,108.03,0,0,0
-1.3,2.2,101.94,0,0,0
-0.3,2.3,95.97,0,0,0
0.7,2.3,89.69,0,0,0
3,2.8,84.4,28,544,21.9
5.3,3.3,79.08,66,274,40.6
7,2.9,74.02,52,835,49.9
8.7,2.5,69.31,62,888,56.8
10.9,2.6,65.03,68,936,57.2
13.1,2.8,61.29,80,944,57.6
15,3.3,58.19,84,969,54
16.9,3.8,55.84,85,976,55.1
18.1,4.3,54.35,86,985,49.9
19.4,4.7,53.77,91,979,45.5
20,5,54.15,90,977,45.8
20.7,5.2,55.46,96,950,54.4
20.7,5.3,57.64,94,935,56.9
20.7,5.4,60.59,97,889,58.8
19.7,4.8,64.21,92,853,50.6
18.6,4.2,68.39,86,790,47.4
16.4,3.9,73.02,89,468,28.8
14.3,3.5,78.02,80,155,38.6
14.3,3.5,83.3,34,396,0.4
11.7,3.6,88.66,14,91,0.4
11.2,3.5,94.76,0,0,0
10.8,3.5,100.7,0,0,0
10.4,3.4,106.76,0,0,0
10,3.3,112.93,0,0,0
9.7,3.2,119.18,0,0,0
9.4,3.2,125.49,0,0,0
9,3.1,131.83,0,0,0
8.7,3.1,138.18,0,0,0
8.4,3.1,144.51,0,0,0
8.1,3.1,150.77,0,0,0
7.8,3.1,156.84,0,0,0
7.5,3.1,162.53,0,0,0
7.3,3.2,167.25,0,0,0
7.1,3.2,169.58,0,0,0
6.8,3.2,168.01,0,0,0
6.6,3.2,163.64,0,0,0
6.4,3.2,158.09,0,0,0
6.1,3.2,152.06,0,0,0
5.9,3.2,145.84,0,0,0
5.6,3.2,139.52,0,0,0
5.2,3.3,133.16,0,0,0
4.7,3.3,126.81,0,0,0
3.9,3.4,120.49,0,0,0
3.2,3.5,114.23,0,0,0
2.5,3.5,108.03,0,0,0
1.8,3.6,101.93,0,0,0
2.3,4,95.96,0,0,0
2.8,4.3,89.68,0,0,0
4.2,4.6,84.38,31,466,21
5.6,4.9,79.05,57,407,40.6
7.7,4.8,73.97,59,792,50.3
9.7,4.6,69.24,66,872,57
12.3,5.3,64.95,72,922,61.2
14.9,6,61.19,75,962,59.1
16.8,6.7,58.08,77,970,56.6
18.8,7.3,55.71,106,812,56.8
19.5,7.4,54.2,154,691,47.9
20.3,7.4,53.61,191,586,43.3
20.6,7.3,53.98,273,80,45.9
21,7.1,55.28,190,552,25.8
21,6.9,57.46,190,510,21.1
21,6.6,60.41,66,953,30.5
